//Tiempo de reloj multiplicación matrices secuencial//

[Threads Wall Time] N=1000 : 4.02332
[Threads Wall Time] N=1500 : 15.3219
[Threads Wall Time] N=2000 : 39.5587
[Threads Wall Time] N=2500 : 80.7375
[Threads Wall Time] N=3000 : 140.396
[Threads Wall Time] N=4000 : 371.546
[Threads Wall Time] N=5000 : 813.01
[Threads Wall Time] N=7000 : 3691.02
[Threads Wall Time] N=100 : 0.00627494
[Threads Wall Time] N=250 : 0.0453792
[Threads Wall Time] N=500 : 0.384966
[Threads Wall Time] N=1000 : 4.08177
[Threads Wall Time] N=1500 : 15.6943
[Threads Wall Time] N=2000 : 39.2979
[Threads Wall Time] N=2500 : 80.4416
[Threads Wall Time] N=3000 : 140.212
[Threads Wall Time] N=4000 : 376.271
[Threads Wall Time] N=5000 : 802.254
[Threads Wall Time] N=7000 : 3723.38
[Threads Wall Time] N=100 : 0.00494618
[Threads Wall Time] N=250 : 0.0455899
[Threads Wall Time] N=500 : 0.383079
[Threads Wall Time] N=1000 : 3.8997
[Threads Wall Time] N=1500 : 15.629
[Threads Wall Time] N=2000 : 39.2501
[Threads Wall Time] N=2500 : 80.4692
[Threads Wall Time] N=3000 : 141.654
[Threads Wall Time] N=4000 : 372.334
[Threads Wall Time] N=5000 : 811.256
[Threads Wall Time] N=7000 : 3459.12
[Threads Wall Time] N=100 : 0.00460492
[Threads Wall Time] N=250 : 0.0479951
[Threads Wall Time] N=500 : 0.397345
[Threads Wall Time] N=1000 : 3.37994
[Threads Wall Time] N=1500 : 15.7624
[Threads Wall Time] N=2000 : 41.0143
[Threads Wall Time] N=2500 : 84.1066
[Threads Wall Time] N=3000 : 140.212
[Threads Wall Time] N=4000 : 371.668
[Threads Wall Time] N=5000 : 808.542
[Threads Wall Time] N=7000 : 3702.54
[Threads Wall Time] N=100 : 0.00441607
[Threads Wall Time] N=250 : 0.047622
[Threads Wall Time] N=500 : 0.387151
[Threads Wall Time] N=1000 : 3.98486
[Threads Wall Time] N=1500 : 15.8386
[Threads Wall Time] N=2000 : 39.2434
[Threads Wall Time] N=2500 : 80.4523
[Threads Wall Time] N=3000 : 143.404
[Threads Wall Time] N=4000 : 374.482
[Threads Wall Time] N=5000 : 809.454
[Threads Wall Time] N=7000 : 3522.41
[Threads Wall Time] N=100 : 0.0048668
[Threads Wall Time] N=250 : 0.067872
[Threads Wall Time] N=500 : 0.417626
[Threads Wall Time] N=1000 : 4.16129
[Threads Wall Time] N=1500 : 15.4468
[Threads Wall Time] N=2000 : 39.9289
[Threads Wall Time] N=2500 : 78.8663
[Threads Wall Time] N=3000 : 142.105
[Threads Wall Time] N=4000 : 370.133
[Threads Wall Time] N=5000 : 798.402
[Threads Wall Time] N=7000 : 3668.03
[Threads Wall Time] N=100 : 0.00501246
[Threads Wall Time] N=250 : 0.0468359
[Threads Wall Time] N=500 : 0.385573
[Threads Wall Time] N=1000 : 4.07134
[Threads Wall Time] N=1500 : 15.0932
[Threads Wall Time] N=2000 : 39.8251
[Threads Wall Time] N=2500 : 80.6689
